Time	Lat	Long	TTFF	Count	Commands	TxTries	ONT	DiskUsed	Files	I	V	Temperature	CTTemp	CTCond	AirmarAirTemp	AirmarWindDirection	AirmarWindSpeed	AirmarWindGust	AirmarHeading	AirmarAirFix	WBT_Status	WBT_Step	WBT_Min	WBT_dB	WBT_L00	WBT_L01	WBT_L02	WBT_L03	WBT_L04	WBT_L05	WBT_L06	WBT_L07	WBT_L08	WBT_L09	WBT_L10	WBT_L11	WBT_L12	WBT_L13	WBT_L14	WBT_L15	WBT_L16	WBT_L17	WBT_L18	WBT_L19	
2020-06-10 13:10:11	60.34158	5.35566	11	0	0	0	180	0	0	0.009	13.6	19			16.9	0	2	2	0	0	0	1	1	-73	-94	-88	-88	-82	-76	-76	-76	-70	-76	-70	-70	-70	-64	-64	-64	-64	-64	-64	-58	-70	
2020-06-10 13:15:00	60.34158	5.35572	11	1	0	1	180	0	0	0.011	13.5	19			17	0	0	0	0	0	0	1	1	-73	-94	-88	-82	-82	-82	-76	-76	-76	-70	-70	-70	-70	-70	-70	-64	-64	-64	-58	-64	-76	
2020-06-10 13:20:00	60.34155	5.35563	12	2	0	1	180	0	0	0.011	13.5	20			17.6	0	3	3	0	0	0	1	1	-73	-94	-88	-82	-82	-82	-76	-76	-76	-70	-70	-70	-70	-70	-64	-64	-64	-64	-64	-64	-76	
2020-06-10 13:29:11	60.34158	5.35566	11	0	0	0	180	0	0	0.009	13.6	20			18	0	1	1	0	0	0	1	1	-73	-94	-88	-82	-82	-82	-76	-76	-76	-70	-70	-70	-70	-70	-64	-64	-64	-64	-64	-64	-76	
2020-06-10 13:34:41	60.34155	5.3556	11	0	0	0	180	0	0	0.009	13.6	21			18.1	0	2	2	0	0	0	1	1	-73	-94	-88	-82	-82	-82	-76	-76	-76	-70	-70	-70	-70	-70	-64	-64	-64	-64	-64	-64	-76	
2020-06-10 13:46:59	60.34164	5.35572	11	0	0	0	180	0	1	0.011	13.5	21			18.9	0	2	2	0	0	0	1	1	-73	-94	-88	-82	-82	-82	-76	-76	-76	-70	-70	-70	-70	-70	-64	-64	-64	-64	-64	-64	-70	
2020-06-10 13:53:59	60.34158	5.35566	11	0	0	0	150	0	1	0.009	13.6	22									0	1	2	-73	-94	-88	-82	-82	-82	-76	-76	-76	-70	-70	-70	-70	-70	-64	-64	-64	-64	-64	-64	-70	
2020-06-11 08:28:41	60.34161	5.35563	11	0	0	0	150	0	0	0.009	13.6	25			23	0	2	2	0	0	0	1	0	-76	-94	-88	-88	-82	-82	-82	-76	-76	-76	-76	-70	-70	-70	-70	-70	-64	-64	-64	-64	-70	
2020-06-11 08:35:00	60.34164	5.35566	12	1	0	1	150	0	0	0.007	13.6	24			24.3	0	1	1	0	0	0	1	0	-76	-94	-88	-88	-82	-82	-82	-76	-76	-76	-76	-70	-70	-70	-70	-70	-64	-70	-64	-64	-76	
2020-06-11 08:40:00	60.34152	5.35581	12	2	0	1	150	0	0	0.007	13.6	24			25.2	0	2	2	0	0	0	1	0	-76	-94	-94	-88	-82	-82	-82	-76	-76	-76	-76	-76	-70	-70	-70	-70	-70	-64	-64	-64	-76	
2020-06-11 08:45:00	60.34158	5.35575	12	3	0	1	150	0	0	0.007	13.6	25			25.6	0	1	1	0	0	0	1	0	-76	-94	-88	-88	-82	-82	-82	-82	-76	-76	-76	-70	-70	-70	-70	-70	-70	-64	-64	-64	-70	
2020-06-11 08:50:00	60.34161	5.35569	12	4	0	1	150	0	0	0.007	13.6	25			26.2	0	1	1	0	0	0	1	0	-76	-94	-94	-88	-88	-82	-82	-82	-76	-76	-76	-76	-70	-70	-70	-70	-70	-64	-64	-64	-76	
2020-06-11 08:55:00	60.34152	5.35575	12	5	0	1	150	0	0	0.007	13.6	26			26.4	0	1	1	0	0	0	1	0	-76	-94	-94	-88	-82	-82	-82	-76	-76	-76	-76	-76	-70	-70	-70	-70	-70	-64	-64	-64	-76	
