Time	Lat	Long	TTFF	Warning	Count	Leak	Commands	I	V	Temperature	Pressure	Humidity	TxTries	Vel	Dir	TrDist	WindDir	NTack	Tack	T0	T1	T2	T3	WPRE	CORR	SAP	SAM	SAS	RANG	
2018-11-09 07:10:42	58.26864	11.43141	11	1	0	0	0	0.005	13.6	20	1021	30	0	0.6	359	0	0	0	0					0	1					
2018-11-09 07:15:00	58.26861	11.43132	13	0	1	0	0	0.005	13.6	20	1021	30	3	0	239	0	0	1	0	0				0	1	0	0	0		
2018-11-09 07:20:00	58.26855	11.43138	12	0	2	0	0	0.005	13.6	20	1021	29	1	0	145	0	0	0	1	0	0			0	1	0	0	0		
2018-11-09 07:25:00	58.26858	11.43141	12	0	3	0	0	0.005	13.6	20	1021	29	2	0	51	0	80	1	0	1	0	0		0	1	0	3	13		
2018-11-09 07:30:00	58.26855	11.43141	12	0	4	0	0	0.005	13.6	20	1021	29	1	0	183	0	110	0	1	0	1	0	0	0	1	19	0	0		
2018-11-09 07:40:00	58.26861	11.43141	13	0	6	0	0	0.005	13.6	19	1022	28	3	0	346	0	100	0	0	0	1	0	1	0	1	8	7	0		
2018-11-09 07:45:00	58.26816	11.43189	13	0	7	0	0	0.005	13.6	19	1022	28	1	0.2	152	100	100	1	0	0	0	1	0	0	1	0	19	0		
2018-11-09 07:50:00	58.26828	11.43207	13	0	8	0	0	0.005	13.6	18	1022	28	1	0.1	39	100	255	1	1	0	0	0	1	0	1	0	19	0		
2018-11-09 07:55:00	58.27068	11.46288	11	1	9	0	0	0.005	13.6	18	1022	28	1	6.1	82	1900	255	0	1	1	0	0	0	0	1	0	20	0		
2018-11-09 08:00:00	58.28091	11.49567	14	0	10	0	0	0.005	13.6	17	1022	28	1	7.3	59	4000	95	2	0	1	1	0	0	0	0	0	20	0		
2018-11-09 08:05:00	58.28112	11.49501	13	0	11	0	0	0.005	13.6	17	1022	28	1	0.2	304	4000	95	2	2	0	1	1	0	0	0	0	15	4		
2018-11-09 08:15:00	58.2804	11.49474	25	0	13	0	0	0.005	13.6	16	1022	28	3	0.3	153	3900	95	2	1	1	2	0	1	0	0	0	0	14		
2018-11-09 08:25:00	58.27872	11.49606	24	0	15	0	0	0.005	13.6	15	1022	28	3	0.4	151	3900	95	2	1	1	1	1	2	0	0	0	0	14		
2018-11-09 08:35:00	58.28034	11.49501	18	0	17	0	0	0.005	13.6	14	1022	28	3	0.4	352	3900	60	3	0	0	1	1	1	0	0	18	0	0		
2018-11-09 09:16:42	58.28292	11.49057	12	1	0	0	0	0.005	13.6	13	1022	28	0	0.3	143	0	0	0	0					0	1					
2018-11-09 09:20:00	58.28316	11.48997	12	0	1	0	6	0.005	13.6	13	1022	28	2	0.2	306	-300	0	1	0	0				0	0	4	1	4		
2018-11-09 09:25:00	58.28289	11.49012	13	0	2	0	0	0.005	13.6	13	1022	28	1	0.1	164	-300	50	0	1	0	0			0	1	10	0	10		
2018-11-09 09:35:00	58.28238	11.48796	13	0	4	0	0	0.005	13.6	12	1022	28	3	0.5	214	-400	100	1	1	0	1	0	0	0	0	4	0	11		
2018-11-09 09:40:00	58.28181	11.4897	13	0	5	0	5	0.005	13.6	12	1022	28	1	0.4	122	100	100	0	1	1	0	1	0	0	1	0	0	20		
2018-11-09 09:45:00	58.28247	11.48943	13	0	6	0	0	0.005	13.6	12	1022	28	1	0.3	348	100	50	0	0	1	1	0	1	0	1	13	0	6		
2018-11-09 09:50:00	58.28349	11.48823	13	0	7	0	0	0.005	13.6	12	1022	28	1	0.4	328	-100	50	1	0	0	1	1	0	0	1	17	3	0		
2018-11-09 09:55:00	58.28226	11.48682	15	0	8	0	0	0.005	13.6	12	1022	28	1	0.5	211	-200	95	0	1	0	0	1	1	0	1	5	0	12		
2018-11-09 10:00:00	58.28247	11.48502	13	0	9	0	0	0.005	13.6	12	1022	28	1	0.4	282	-300	80	0	0	1	0	0	1	0	0	14	0	6		
2018-11-09 10:05:00	58.2834	11.48418	21	0	10	0	1	0.005	13.6	12	1022	28	1	0.4	335	-400	80	0	0	0	1	0	0	0	0	19	0	0		
2018-11-09 10:10:00	58.28238	11.48418	13	0	11	0	1	0.005	13.6	12	1022	28	1	0.4	180	-400	80	1	1	0	0	1	0	0	0	7	0	12		
2018-11-09 10:15:00	58.28073	11.48505	14	0	12	0	0	0.005	13.6	12	1022	28	3	0.6	164	400	80	0	1	1	0	0	1	0	0	0	0	16		
2018-11-09 10:25:00	58.27914	11.48625	14	0	14	0	0	0.005	13.6	12	1022	28	3	0.4	142	500	80	0	1	1	1	1	0	0	0	0	1	8		
2018-11-09 10:30:00	58.27836	11.48775	13	0	15	0	1	0.005	13.7	12	1021	28	1	0.4	135	500	80	0	1	1	1	1	1	0	0	0	1	19		
2018-11-09 10:35:00	58.27719	11.48898	14	0	16	0	0	0.005	13.7	12	1021	28	1	0.5	151	600	80	0	1	1	1	1	1	0	0	0	0	20		
2018-11-09 10:40:00	58.27797	11.48823	13	0	17	0	6	0.005	13.7	12	1021	28	1	0.3	334	0	60	2	0	1	1	1	1	0	1	15	0	5		
2018-11-09 10:45:00	58.27938	11.48763	15	0	18	0	0	0.005	13.7	12	1021	29	1	0.5	347	100	60	2	0	0	1	1	1	0	1	20	0	0		
2018-11-09 10:50:00	58.27842	11.48682	14	0	19	0	1	0.005	13.7	11	1021	28	2	0.4	204	100	60	2	2	0	0	1	1	0	1	6	0	11		
2018-11-09 10:55:00	58.27656	11.48619	15	0	20	0	0	0.005	13.7	11	1021	28	1	0.7	190	-100	60	2	2	2	0	0	1	0	1	0	0	20		
2018-11-09 11:00:00	58.27458	11.48502	14	0	21	0	0	0.005	13.7	11	1021	28	1	0.8	197	-200	60	3	2	2	2	0	0	0	1	0	0	20		
2018-11-09 11:05:00	58.27485	11.48079	26	0	22	0	0	0.005	13.7	11	1021	29	1	0.8	277	0	55	2	3	2	2	2	0	0	1	14	0	4		
