Time	Lat	Long	TTFF	Count	Commands	TxTries	ONT	I	V	Temperature	CTTemp	CTCond	WBT_Status	WBT_Ens	WBT_Min	
2018-11-09 07:10:11	58.26852	11.43138	12	0	0	0	20	0.009	13.6	21	10.737		9		0	
2018-11-09 07:20:00	58.26852	11.43138	12	1	0	2	20	0.009	13.6	20	10.429		9		0	
2018-11-09 07:30:00	58.26858	11.43144	12	2	0	1	20	0.009	13.6	19	9.629		9		0	
2018-11-09 07:40:00	58.26858	11.43144	12	3	0	1	20	0.009	13.6	18	9.534		9		0	
2018-11-09 07:50:00	58.26828	11.43204	12	4	0	1	20	0.009	13.6	17	9.089		9		0	
2018-11-09 08:00:00	58.28094	11.4957	12	5	0	1	20	0.009	13.6	15	9.043		9		0	
2018-11-09 09:20:00	58.28316	11.48991	11	13	0		20	0.009	13.6	12	9.732	30.6	9		0	
2018-11-09 09:30:00	58.28346	11.4894	12	14	1	1	360	0.009	13.6	12	9.425	28.13	0	2	5	
2018-11-09 09:40:00	58.28178	11.48967	12	15	1	1	350	0.009	13.6	12	9.709	30.47	0	2	5	
2018-11-09 09:50:00	58.28346	11.48808	12	16	0	1	350	0.009	13.5	12	9.372	27.57	0	2	5	
2018-11-09 10:00:00	58.28256	11.48466	42	17	0	1	380	0.009	13.5	12	9.442	28.14	0	2	5	
2018-11-09 10:10:00	58.28238	11.484	11	18	0	1	350	0.009	13.5	12	9.467	28.32	0	2	5	
2018-11-09 10:20:00	58.27995	11.4849	11	19	0	1	350	0.009	13.4	12	9.744	30.61	0	2	5	
2018-11-09 10:30:00	58.27836	11.48781	11	20	0	1	350	0.009	13.4	12	9.754	30.64	0	2	5	
2018-11-09 10:40:00	58.278	11.48817	11	21	0	1	350	0.009	13.4	12	9.767	30.68	0	2	5	
2018-11-09 10:50:00	58.27842	11.48676	11	22	0	1	360	0.009	13.4	12	9.764	30.68	0	2	5	
2018-11-09 11:00:00	58.27461	11.48511	11	23	0	1	350	0.009	13.4	12	9.789	30.79	0	2	5	
2018-11-09 11:10:00	58.27341	11.48007	12	24	1	1	20	0.011	13.4	12	9.844	31.08	9		0	
2018-11-09 11:20:00	58.27266	11.47671	12	25	0	1	20	0.009	13.4	11	9.82	30.79	9		0	
2018-11-09 11:30:00	58.27461	11.47305	11	26	0	1	20	0.009	13.4	11	9.744	30.2	9		0	
2018-11-09 11:40:00	58.27344	11.46588	12	27	0	1	20	0.009	13.4	11	8.71		9		0	
2018-11-21 07:05:11	58.26849	11.43138	12	0	0	0	20	0.011	13.4	20	5.523		9		0	
2018-11-21 07:40:00	58.26876	11.43096	19	4	0		30	0.009	13.4	14	3.723		9		0	
2018-11-21 07:50:00	58.2687	11.43126	13	5	0	1	20	0.009	13.4	12	3.901		9		0	
2018-11-21 08:00:00	58.26675	11.43324	41	6	0	1	50	0.009	13.3	12	4.265		9		0	
2018-11-21 08:10:00	58.26744	11.46057	11	7	0	1	20	0.009	13.3	10	3.463		9		0	
2018-11-21 08:20:00	58.28121	11.48688	11	8	0	1	20	0.009	13.4	9	3.719		9		0	
2018-11-21 08:30:00	58.29615	11.51136	11	9	0	1	20	0.009	13.3	9	3.716		9		0	
2018-11-21 08:40:00	58.31184	11.53527	11	10	0	1	20	0.009	13.4	8	3.654		9		0	
2018-11-21 08:50:00	58.31562	11.54136	12	11	0	1	20	0.009	13.4	8	8.27	27.51	9		0	
2018-11-21 09:00:00	58.31295	11.5395	12	12	1	1	350	0.009	13.4	8	8.269	27.5	0	2	5	
2018-11-21 09:10:00	58.3134	11.53689	12	13	0	1	350	0.009	13.4	9	8.182	27.36	0	2	5	
2018-11-21 09:20:00	58.31559	11.53731	12	14	0	1	360	0.009	13.3	9	8.148	27.28	0	2	5	
2018-11-21 09:30:00	58.31793	11.53674	12	15	0	1	350	0.009	13.3	9	8.097	27.14	0	2	5	
2018-11-21 09:40:00	58.31445	11.54001	12	16	0	1	350	0.009	13.3	9	8.284	27.54	0	2	5	
2018-11-21 09:50:00	58.31241	11.5425	12	17	0	1	360	0.009	13.3	10	8.265	27.55	0	2	5	
2018-11-21 10:00:00	58.31535	11.53854	12	18	0	1	350	0.009	13.3	10	8.234	27.46	0	2	5	
2018-11-21 10:10:00	58.31775	11.53845	12	19	0	1	350	0.009	13.3	10	8.233	27.39	0	2	5	
2018-11-21 10:20:00	58.31385	11.53923	12	20	0	1	350	0.009	13.3	10	8.298	27.59	0	2	5	
2018-11-21 10:30:00	58.31703	11.53758	12	21	0	1	350	0.009	13.3	10	8.23	27.39	0	2	5	
2018-11-21 10:40:00	58.31781	11.53749	12	22	0	1	350	0.009	13.3	10	8.224	27.39	0	2	5	
2018-11-21 10:50:00	58.31745	11.53848	13	23	0	1	360	0.009	13.3	10	8.263	27.45	0	2	5	
2018-11-21 11:00:00	58.31769	11.53803	13	24	0	1	350	0.009	13.3	10	8.23	27.41	0	2	5	
2018-11-21 11:10:00	58.317	11.53734	38	25	0	1	380	0.009	13.3	10	8.234	27.43	0	2	5	
2018-11-21 11:20:00	58.3167	11.53623	11	26	0	1	350	0.009	13.3	10	8.217	27.4	0	2	5	
2018-11-21 11:30:00	58.3164	11.53581	11	27	0	1	360	0.009	13.3	10	8.221	27.41	0	2	5	
2018-11-21 11:40:00	58.31571	11.53629	12	28	0	1	360	0.009	13.3	10	8.243	27.47	0	2	5	
2018-11-21 11:50:00	58.31658	11.53677	12	29	0	2	360	0.009	13.3	10	8.254	27.47	0	2	5	
2018-11-21 12:00:00	58.31856	11.53683	12	30	0	1	350	0.009	13.3	10	8.13	27.22	0	2	5	
2018-11-21 12:10:00	58.31913	11.53659	12	31	0	1	350	0.009	13.3	10	8.058	27.09	0	2	5	
2018-11-21 12:20:00	58.31844	11.53707	12	32	0	1	360	0.009	13.3	10	8.112	27.19	0	2	5	
2018-11-21 12:30:00	58.31907	11.53608	13	33	0	1	350	0.009	13.3	9	8.025	27.03	0	2	5	
2018-11-21 12:40:00	58.31691	11.53731	13	34	1	1	350	0.009	13.3	9	8.213	27.42	0	3	5	
2018-11-21 12:50:00	58.31712	11.53644	13	35	0	1	360	0.011	13.3	9	8.198	27.39	0	3	5	
2018-11-21 13:00:00	58.31505	11.53812	13	36	0	1	360	0.009	13.3	9	8.245	27.51	0	3	5	
2018-11-21 13:10:00	58.31352	11.53971	13	37	0	1	360	0.009	13.3	9	8.2	27.53	0	3	5	
2018-11-21 13:20:00	58.31532	11.53779	13	38	0	1	360	0.009	13.3	9	8.228	27.48	0	3	5	
2018-11-21 13:30:00	58.31805	11.5371	41	39	0	2	380	0.009	13.3	9	8.154	27.29	0	3	5	
2018-11-21 13:40:00	58.31844	11.53707	11	40	0	1	350	0.009	13.3	9	8.037	27.1	0	3	5	
2018-11-21 13:50:00	58.31604	11.54076	11	41	0	1	350	0.009	13.3	9	8.25	27.55	0	3	5	
2018-11-21 14:00:00	58.31613	11.54088	11	42	1	1	360	0.009	13.3	9	8.263	27.56	0	3	5	
2018-11-21 14:10:00	58.31601	11.54103	11	43	0	1	350	0.009	13.3	9	8.245	27.56	0	3	5	
2018-11-21 14:20:00	58.31817	11.54025	12	44	0	1	350	0.009	13.3	9	8.102	27.24	0	3	5	
2018-11-21 14:30:00	58.31814	11.53911	12	45	1	1	20	0.009	13.3	9	8.09	27.21	9		0	
2018-11-23 09:10:35	58.26843	11.43141	11	0	0	0	20	0.011	13.3	8	0.745		9		0	
2018-11-23 09:20:00	58.26756	11.43306	12	1	0	1	20	0.009	13.4	6	0.374		9		0	
2018-11-23 09:30:00	58.26729	11.43333	12	2	0	1	20	0.009	13.4	6	7.541	25.63	9		0	
2018-11-23 09:40:00	58.26735	11.43336	12	3	0	1	20	0.011	13.4	6	7.535	25.55	9		0	
2018-11-23 09:50:00	58.26735	11.43339	12	4	2	1	360	0.009	13.4	6	7.593	25.58	0	1	5	
2018-11-23 10:00:00	58.26735	11.43339	12	5	0	1	360	0.009	13.3	7	7.61	25.55	0	1	5	
2018-11-23 10:10:00	58.26735	11.43336	12	6	0	1	360	0.009	13.3	7	7.675	25.61	0	1	5	
2018-11-23 10:20:00	58.26735	11.43336	12	7	0	1	360	0.009	13.3	7	7.567	25.49	0	1	5	
2018-11-23 10:40:00	58.26738	11.43333	12	8	2	1	660	0.009	13.3	7	7.69	25.62	0	1	10	
2018-11-23 11:00:00	58.26726	11.4333	12	9	1	1	660	0.009	13.3	7	7.64	25.6	0	2	10	
2018-11-23 11:20:00	58.26741	11.43339	12	10	0	1	660	0.009	13.3	7	7.586	25.59	0	2	10	
2018-11-23 11:40:00	58.26729	11.43336	17	11	0	1	660	0.009	13.3	7	7.636	25.61	0	2	10	
2018-11-23 12:00:00	58.26738	11.43336	41	12	0	1	690	0.009	13.3	7	7.555	25.57	0	2	10	
2018-11-23 12:20:00	58.26741	11.43336	11	13	1	1	20	0.009	13.3	7	7.56	25.59	9		0	
2018-11-27 10:46:36	58.26858	11.43147	12	0	0	0	20	0.011	13.4	7	2.386		9		0	
2018-11-27 10:50:00	58.26726	11.43231	12	1	0	1	20	0.009	13.4	6	0.794		9		0	
2018-11-27 11:00:00	58.26726	11.43234	12	2	0	1	20	0.009	13.4	6	5.878	24.59	9		0	
2018-11-27 11:10:00	58.26726	11.43231	12	3	1	1	350	0.009	13.4	6	5.831	24.57	0	2	5	
2018-11-27 11:20:00	58.26726	11.43231	12	4	3	1	350	0.009	13.4	7	5.771	24.52	0	3	5	
2018-11-27 11:30:00	58.26729	11.43231	12	5	0	1	350	0.009	13.4	7	5.77	24.36	0	3	5	
2018-11-27 11:40:00	58.26729	11.43228	12	6	0	1	350	0.009	13.4	7	5.742	24.01	0	3	5	
2018-11-27 11:50:00	58.26735	11.43231	12	7	0	2	350	0.009	13.4	7	5.724	24.14	0	3	5	
2018-11-27 12:00:00	58.26729	11.43228	13	8	0	1	360	0.009	13.4	7	5.786	24.55	0	3	5	
2018-11-27 12:10:00	58.26735	11.43228	14	9	1	1	360	0.009	13.4	7	5.813	24.62	0	1	5	
2018-11-27 12:20:00	58.26744	11.43222	15	10	0	1	360	0.009	13.4	7	5.809	24.62	0	1	5	
2018-11-27 12:30:00	58.2672	11.43234	13	11	0	1	360	0.009	13.4	7	5.803	24.62	0	1	5	
2018-11-27 12:40:00	58.26723	11.43228	13	12	0	2	360	0.009	13.4	7	5.777	24.6	0	1	5	
2018-11-27 12:50:00	58.26726	11.43231	13	13	1	1	360	0.011	13.4	7	5.773	24.59	0	4	5	
2018-11-27 13:00:00	58.26726	11.43231	42	14	0	1	380	0.009	13.4	7	5.775	24.6	0	4	5	
2018-11-27 13:10:00	58.26726	11.43231	12	15	0	1	350	0.009	13.4	7	5.784	24.61	0	4	5	
2018-11-27 13:20:00	58.26726	11.43234	12	16	0	1	350	0.009	13.4	6	5.799	24.62	0	4	5	
2018-11-27 13:30:00	58.26726	11.43231	12	17	1	1	20	0.009	13.4	6	5.747	24.58	9		0	
2018-11-27 13:40:00	58.26726	11.43231	12	18	0	1	20	0.009	13.4	6	5.791	24.61	9		0	
2018-12-03 07:30:00	56.91876	12.29313	13	1	0		20	0.009	13.4	8	7.001		9		0	
2018-12-03 07:40:00	56.91114	12.26814	13	2	0	1	20	0.009	13.4	7	7.397		9		0	
2018-12-03 07:50:00	56.90169	12.2421	13	3	0	1	20	0.009	13.4	7	7.634		9		0	
2018-12-03 08:00:00	56.89206	12.21726	12	4	0	1	20	0.009	13.4	7	7.812		9		0	
2018-12-03 08:10:00	56.88438	12.19041	14	5	0	1	20	0.009	13.3	8	8.031		9		0	
2018-12-03 08:20:00	56.87772	12.16362	12	6	0	1	20	0.009	13.4	8	8.111		9		0	
2018-12-03 08:30:00	56.87037	12.13698	12	7	0	1	20	0.009	13.3	8	8.02		9		0	
