Time	Lat	Long	TTFF	Count	Commands	TxTries	ONT	DiskUsed	Files	I	V	Temperature	CTTemp	CTCond	WBT_Status	WBT_Step	WBT_Min	WBT_dB	WBT_L00	WBT_L01	WBT_L02	WBT_L03	WBT_L04	WBT_L05	WBT_L06	WBT_L07	WBT_L08	WBT_L09	WBT_L10	WBT_L11	WBT_L12	WBT_L13	WBT_L14	WBT_L15	WBT_L16	WBT_L17	WBT_L18	WBT_L19	ECO3_Beta	ECO3_CHL	ECO3_PC	
2019-01-01 00:06:09	0	0		0	0	0	300	1	0	0.009	14	29																														
2019-01-01 00:15:00	0	0		1	0	1	300	1	0	0.007	14.1	29																														
2019-01-01 00:25:00	57.38742	18.17883		2	0	2		1	0	0.007	14	28																														
2020-03-17 11:03:11	60.34152	5.35557	11	0	0	0	130	0	0	0.009	14.2	22	20.776		0	2	1	-87	-100	-100	-100	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-17 12:03:10	60.34155	5.35557	11	0	0	0	130	0	0	0.011	14.2	24	20.992		0	2	1	-87	-100	-100	-100	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-17 12:12:10	60.34158	5.35554	12	0	0	0	130	0	0	0.009	14.2	23	21.013		0	2	1	-87	-100	-100	-100	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-17 12:19:11	60.34155	5.35557	11	0	0	0	10	0	0	0.009	14.2	23																														
2020-03-17 12:20:00	60.34155	5.35557	12	1	0	1	10	0	0	0.009	14.2	23																														
2020-03-17 12:30:11	60.34152	5.35554	11	0	0	0	130	0	1	0.009	14.2	23	21.068		0	2	1	-87	-100	-100	-100	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-19 14:16:41	60.34152	5.3556	11	0	0	0	10	0	0	0.009	14.2	24																														
2020-03-19 14:20:00	60.34155	5.3556	12	1	0	2	10	0	0	0.009	14.2	23																														
2020-03-19 14:30:00	60.34152	5.3556	12	2	1	1	130	0	1	0.009	14.2	23	22.004		0	2	1	-88	-100	-100	-100	-94	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-19 14:40:00	60.34155	5.35554	12	3	0	1	130	0	1	0.009	14.2	23	21.964		0	2	1	-88	-100	-100	-100	-94	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-19 14:50:00	60.34155	5.35551	12	4	0	1	130	0	1	0.009	14.2	23	21.947		0	2	1	-88	-100	-100	-100	-94	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-19 15:00:00	60.34149	5.3556	11	5	1	3	130	0	1	0.009	14.2	23	21.957		0	2	1	-88	-100	-100	-100	-94	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-20 11:17:11	60.34167	5.35557	11	0	0	0	10	0	0	0.009	13.6	23																														
2020-03-20 11:20:00	60.34155	5.3556	11	1	0	1	10	0	0	0.009	13.6	23																														
2020-03-20 11:53:11	60.34161	5.35569	11	0	0	0	10	0	0	0.009	14	20																														
2020-03-20 12:00:00	60.34158	5.35566	12	1	0	1	10	0	0	0.009	14	19																														
2020-03-20 12:10:00	60.34161	5.35566	12	2	2	1	130	0	1	0.009	14	19	11.462		0	2	1	-87	-100	-100	-100	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-20 12:20:00	60.34155	5.35569	12	3	0	1	130	0	1	0.009	14	18	11.172		0	2	1	-87	-100	-100	-100	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-20 12:30:00	60.34155	5.35566	12	4	1	1	130	0	1	0.009	14	18	11.293		0	2	1	-87	-100	-100	-100	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-20 12:40:00	60.34155	5.35563	12	5	1	1	130	0	2	0.007	14	18	10.923		0	2	1	-87	-100	-100	-100	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-20 12:50:00	60.34158	5.3556	12	6	1	1	130	0	1	0.009	14	18	10.225		0	2	1	-87	-100	-100	-100	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-20 13:00:00	60.34158	5.35566	12	7	1	1	130	0	2	0.009	14.1	18	10.487		0	2	1	-87	-100	-100	-100	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-82	-76	-76	-76	-76				
2020-03-20 13:14:41	60.34161	5.35566	11	0	0	0	10	0	0	0.011	14.1	20																														
2020-03-20 13:20:00	60.34155	5.35563	11	1	0	1	10	0	0	0.009	14.1	19																														
2020-03-20 13:30:00	60.34158	5.3556	11	2	0	1	10	0	0	0.009	14.1	17																														
2020-03-20 13:40:00	60.34158	5.35563	11	3	0	1	10	0	0	0.009	14.1	16																														
2020-03-20 13:50:00	60.34164	5.35566	12	4	2	1	290	0	1	0.009	14	14	6.337		0	2	4	-87	-100	-100	-100	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-76	-76	-76	-76	-76				
2020-03-20 14:00:00	60.34158	5.35563	12	5	1	1	250	0	1	0.009	14.1	14	6.16		0	2	3	-87	-100	-100	-100	-94	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-76	-76	-76	-76	-76				
2020-03-23 09:56:41	60.34155	5.35563	11	0	0	0	10	0	0	0.009	14.1	19																														
2020-03-23 10:00:00	60.34158	5.35563	12	1	0	1	10	0	0	0.009	14.1	19																														
2020-03-23 10:10:00	60.34158	5.35563	12	2	0	2	10	0	0	0.009	14	17																														
2020-03-23 10:20:00	60.34158	5.35569	12	3	1	1	130	0	1	0.009	14.1	15	5.622		0	2	1	-86	-100	-100	-100	-94	-94	-88	-88	-88	-88	-82	-82	-82	-82	-82	-82	-76	-76	-76	-76	-76				
