Time	Lat	Long	TTFF	Count	Commands	TxTries	ONT	I	V	Temperature	CTTemp	CTCond	ECO3_Beta	ECO3_CHL	ECO3_PC	WBT_Status	WBT_Ens	WBT_Min	NPUSOnSec	NPUStatus	NPUFiles	NPU_Val0	NPU_Val1	NPU_Val2	NPU_Val3	NPU_Val4	NPU_Val5	NPU_Val6	NPU_Val7	NPU_Val8	NPU_Val9	NPU_Val10	NPU_Val11	NPU_Val12	NPU_Val13	NPU_Val14	
2024-03-20 07:55:00	60.29154	5.28243	12	1	0	1	140	0.007	13.4	22	8.997		0.000279	0.01	0.45	0	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-03-20 08:05:00	60.29136	5.28228	12	3	0	3	130	0.007	13.4	20	6.879		0.000285	0.01	0.5	0	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-03-20 08:15:00	60.29151	5.28246	14	5	0	3	140	0.007	13.4	19	7.367		0.000285	0.01	0.45	0	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-03-21 08:11:59	60.29148	5.28255	12	0	0	0	110	0.007	13.3	23	6.239		0.000297	0.01	0.45	1	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-03-21 08:15:00	60.29157	5.28255	12	1	0	1	130	0.007	13.3	23	5.741		0.000273	0.02	0.4	0	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-03-21 08:20:00	60.29148	5.28246	13	2	0	2	130	0.007	13.3	22	4.861		0.000297	0.01	0.5	0	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-03-21 08:25:00	60.29154	5.28249	12	3	0	1	130	0.007	13.3	22	4.47		0.000279	0.01	0.45	0	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-04-13 07:30:00	57.28956	17.97099	13	2	0	3	10	0.007	13.6	9									0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-04-13 07:35:00	57.28968	17.97105	12	3	0	2	10	0.007	13.6	9									0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-04-13 07:40:00	57.28974	17.97105	13	4	0	2	10	0.007	13.5	9									0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-04-13 07:45:00	57.28971	17.97105	12	5	0	1	10	0.007	13.5	9									0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-04-13 07:50:00	57.28971	17.97108	12	6	1	1	130	0.007	13.6	10	10.38		0.000579	0	0	0	1	0	50	1		-62.34	1.1	0.83	96.03	77.68	84.88	0.46	30.18	28.61	71.58	47.91	89.28	0	0	0	
2024-04-13 07:55:00	57.28971	17.97102	12	7	0	1	130	0.007	13.5	10	10.402		0.000342	0	0.1	0	1	0	50	1		-63.36	2.1	0.83	96.03	73.94	84.58	0.45	29.93	26.6	70.83	46.89	88.93	0	0	0	
2024-04-13 08:00:00	57.28968	17.97102	12	8	0	1	130	0.007	13.5	11	10.154		0.00039	0	0.2	0	1	0	50	1		-67.64	1.6	0.83	96.03	49.5	84.58	0.3	30.18	18.28	71.13	30.46	88.73	0	0	0	
2024-04-13 08:05:00	57.28965	17.97105	12	9	0	1	110	0.007	13.5	11	10.271		0.000369	0	0.25	1	1	0	50	1		-67.64	1.6	0.83	96.03	49.5	84.58	0.3	30.18	18.28	71.13	30.46	88.73	0	0	0	
2024-04-13 08:10:00	57.28995	17.97078	12	10	0	1	130	0.007	13.5	11	8.8		0.001404	0.17	0.35	0	1	0	50	1		-70.42	1.65	0.83	96.03	31.12	84.18	0.19	30.18	11.05	70.98	19.41	88.88	0	0	0	
2024-04-13 08:15:00	57.28998	17.97078	13	11	0	1	130	0.007	13.5	12	3.514	7.1	0.000546	1.33	0.25	0	1	0	50	1		-72.79	1.7	0.83	96.03	15.27	83.98	0.11	30.13	5.9	70.43	9.01	88.93	0	0	0	
2024-04-13 08:20:00	57.28998	17.97081	13	12	2	1	180	0.007	13.5	12	3.501	7.07	0.000507	1.58	0.35	0	3	1	50	1		-40.3	0.8	1.43	48.43	2.083955E+09	67.03	7.111738E+08	24.13	9.697825E+08	63.38	4.029985E+08	89.63	0	0	0	
2024-04-13 08:25:00	57.28998	17.97081	12	13	0	1	180	0.007	13.5	12	3.561	7.05	0.000615	1.11	0.25	0	3	1	50	1		-11.42	0	2.03	0.83	4.16791E+09	50.83	1.422348E+09	18.93	1.939565E+09	57.93	8.05997E+08	89.83	0	0	0	
