Time	Lat	Long	TTFF	Warning	Count	Leak	BigLeak	Commands	NavLight	I	V	Temperature	Pressure	Humidity	TransmissionTries	OnTimeSec	Velocity	Heading	TrackDistance	WaypointDirection	TrackRadius	WindDirection	AutoModeEnabled	SwitchWaypointModeEnabled	NextAutopilotTack	CurrentTack	T1	T2	T3	WPReached	WithinTrackRadius	SailAtPortBow	SailAtPort	SailInCentre	SailAtStarboard	SailAtStarboardBow	WPDIR	RANG	RCNT	CANG	TK_AGE	
2026-01-29 13:17:35	60.29148	5.28249	12	1	0	0	0	0	0	0.005	13.2	7	1008	43	0	0	0.1	130	0	176	2000	0	1	0	0	0				1	1	0	0	0	0	0	176	-4	0	-10	5	
2026-01-29 13:20:00	60.29142	5.28255	12	0	1	0	0	0	0	0.005	13.2	8	1008	42	1	32	0	157	0	336	2000	0	1	0	1	0	0			1	1	0	0	0	0	0	336	-4	1	-10	5	
2026-01-29 13:25:00	60.29148	5.28252	12	0	2	0	0	0	0	0.005	13.2	8	1008	37	1	31	0	344	0	290	2000	250	1	0	0	1	0	0		1	1	0	0	0	0	0	290	4	1	10	5	
2026-01-29 13:30:00	60.29148	5.28249	12	0	3	0	0	0	0	0.005	13.2	8	1008	35	1	27	0	279	0	91	2000	285	1	0	1	0	1	0	0	1	1	0	0	0	0	0	91	-4	1	-10	5	
2026-01-29 13:35:00	60.29151	5.28243	12	0	4	0	0	0	0	0.005	13.3	8	1008	35	2	69	0	329	0	139	2000	265	1	0	0	1	0	1	0	0	1	0	0	0	0	0	139	4	1	10	5	
2026-01-29 13:40:00	60.29151	5.28252	12	0	5	0	0	0	0	0.005	13.3	7	1008	35	1	28	0	110	0	215	2000	220	1	0	0	0	1	0	1	1	1	0	0	0	0	0	215	-4	1	-10	5	
2026-01-29 13:45:00	60.29148	5.28249	12	0	6	0	0	0	0	0.005	13.3	7	1008	36	1	29	0	215	0	34	2000	220	1	0	0	0	0	1	0	1	1	0	0	0	0	0	34	-4	0	-10	5	
2026-01-29 13:50:00	60.29145	5.28252	12	0	7	0	0	0	0	0.005	13.4	6	1008	37	1	28	0	162	0	351	2000	220	1	0	1	0	0	0	1	0	1	0	0	0	0	0	351	-4	0	-10	5	
2026-01-29 13:55:00	60.29148	5.28252	12	0	8	0	0	0	0	0.005	13.4	5	1008	38	1	32	0	355	0	192	2000	260	1	0	0	1	0	0	0	1	1	0	0	0	0	0	192	4	1	10	5	
2026-01-29 14:00:00	60.29148	5.28255	12	0	9	0	0	0	0	0.005	13.4	5	1008	38	1	31	0	75	0	240	2000	230	1	0	0	0	1	0	0	0	1	0	0	0	0	0	240	-4	1	-10	5	
2026-01-29 14:05:00	60.29148	5.28252	12	0	10	0	0	0	0	0.005	13.4	4	1008	39	1	32	0	227	0	282	2000	230	1	0	0	0	0	1	0	1	1	0	0	0	0	0	282	-4	0	-10	5	
2026-01-29 14:10:00	60.29154	5.2824	12	0	11	0	0	0	0	0.005	13.4	4	1008	41	1	31	0	317	0	141	2000	230	1	0	1	0	0	0	1	1	1	0	0	0	0	0	141	-4	0	-10	5	
2026-01-29 14:15:00	60.29148	5.28246	12	0	12	0	0	0	0	0.005	13.4	3	1008	42	1	28	0	151	0	125	2000	50	1	0	1	1	0	0	0	1	1	0	0	0	0	0	125	4	1	10	5	
