Time	Lat	Long	TTFF	Count	Commands	TxTries	ONT	DiskUsed	Files	I	V	Temperature	CTTemp	CTCond	GMX_AirPressure	GMX_AirTemp	GMX_RealiveHumidity	GMX_WindDirection	GMX_True	GMX_WindSpeed	GMX_WindGust	GMX_GPSFix	WBT_Status	WBT_Ens	WBT_Min	
2019-01-01 00:06:09	57.41109	18.09963		0	0	0		0	0	0.014	13.3	11		0												
2026-01-29 09:18:41	60.29139	5.28237	11	0	0	0	210	0	0	0.016	13.3	20	5.718	0	1006.7	1.3	46	100	1	0.3	0.3	1	0	1	0	
2026-01-29 09:25:00	60.29157	5.28249	12	1	0	1	210	0	0	0.016	13.2	16	5.786	0	1007	-1.7	58	100	1	0.5	0.6	1	0	1	0	
2026-01-29 09:30:00	60.29145	5.28246	12	2	0	1	210	0	0	0.014	13.2	15	3.361	0	1007.2	-2.3	62	105	1	0.3	0.4	1	0	1	0	
2026-01-29 09:35:00	60.2913	5.28231	12	3	0	1	210	0	0	0.016	13.2	13	3.03	0	1007.3	-2.6	64	100	1	0.3	0.3	1	0	1	0	
2026-01-29 09:40:00	60.29154	5.28255	12	4	0	1	210	0	0	0.016	13.2	12	3.493	0	1007.3	-2.9	66	290	1	0.1	0.3	1	0	1	0	
2026-01-29 09:45:00	60.29151	5.28255	12	5	0	1	210	0	0	0.016	13.2	11	3.076	0	1007.3	-3.9	71	100	1	0.5	0.6	1	0	1	0	
2026-01-29 09:50:00	60.29154	5.28255	12	6	0	1	210	0	0	0.016	13.2	9	-2.903	0	1007.3	-4.7	77	105	1	0.6	0.8	1	0	1	0	
2026-01-29 09:55:00	60.29145	5.28246	12	7	0	1	210	0	0	0.016	13.2	8	-0.023	0	1007.3	-4.8	79	110	1	0.5	0.6	1	0	1	0	
2026-01-29 10:00:00	60.29145	5.28243	12	8	0	1	210	0	0	0.016	13.2	8	0.135	0	1007.3	-4.8	80	160	1	0	0.1	1	0	1	0	
2026-01-29 10:05:00	60.29145	5.28252	12	9	0	1	210	0	0	0.016	13.2	7	0.339	0	1007.4	-4.7	80	105	1	0.7	0.8	1	0	1	0	
2026-01-29 10:20:00	60.29148	5.28249	12	11	0	3	210	0	0	0.016	13.2	5	-0.642	0	1007.4	-4.6	82	115	1	0.2	0.3	1	0	1	0	
2026-01-29 10:25:00	60.29148	5.28246	12	12	0	1	210	0	0	0.016	13.2	5	-0.556	0	1007.4	-4.6	83	95	1	0.4	0.5	1	0	1	0	
2026-01-29 10:30:00	60.29148	5.28249	13	13	0	1	220	0	0	0.016	13.2	4	-0.979	0	1007.4	-4.5	83	110	1	0.6	0.7	1	0	1	0	
2026-01-29 10:35:00	60.29091	5.28276	16	14	0	1	220	0	0	0.016	13.2	4	-1.288	0	1007.4	-4.3	83	140	1	0.2	0.4	1	0	1	0	
2026-01-29 10:40:00	60.29157	5.28255	13	15	0	2	220	0	0	0.016	13.2	4	0.263	0	1007.4	-4.1	82	105	1	0.1	0.2	1	0	1	0	
2026-01-29 10:45:00	60.29151	5.28249	12	16	0	1	220	0	0	0.016	13.2	4	-0.993	0	1007.4	-3.9	82	345	1	0.1	0.1	1	0	1	0	
2026-01-29 10:50:00	60.29154	5.28249	12	17	0	1	220	0	0	0.016	13.2	4	-0.671	0	1007.4	-3.9	82	105	1	0.2	0.2	1	0	1	0	
2026-01-29 10:55:00	60.2913	5.28255	13	18	0	1	220	0	0	0.016	13.2	3	-1.073	0	1007.3	-3.8	81	100	1	0.1	0.3	1	0	1	0	
2026-01-29 11:10:00	60.29127	5.28267	13	20	0	3	220	0	0	0.016	13.2	2	-1.132	0	1007.3	-3.8	83	110	1	0.2	0.3	1	0	1	0	
2026-01-29 11:15:00	60.29172	5.28234	13	21	0	3	220	0	0	0.016	13.2	3	-0.623	0	1007.3	-3.6	82	80	1	0.3	0.4	1	0	1	0	
2026-01-29 11:20:00	60.291	5.28273	14	22	0	1	240	0	0	0.016	13.2	3	-1.659	0	1007.2	-3.6	82	110	1	0.2	0.3	1	0	1	0	
2026-01-29 11:40:00	60.29151	5.28249	12	25	0	3	210	0	0	0.016	13.2	3	-0.325	0	1007.1	-3	82	80	1	0.3	0.4	1	0	1	0	
2026-01-29 11:50:00	60.29148	5.28246	13	27	0	3	210	0	0	0.016	13.2	3	-0.845	0	1007.1	-2.7	81	95	1	0.2	0.3	1	0	1	0	
2026-01-29 12:10:00	60.29151	5.28243	12	30	0	3	210	0	0	0.016	13.2	3	1.948	0	1007.1	-1.8	77	85	1	0.5	0.5	1	0	1	0	
2026-01-29 12:15:00	60.29148	5.28243	12	31	0	1	210	0	0	0.016	13.2	3	0.209	0	1007	-1.8	76	110	1	0.8	0.9	1	0	1	0	
2026-01-29 12:20:00	60.29148	5.28246	12	32	0	2	240	0	0	0.016	13.2	3	1.039	0	1006.9	-1.7	72	105	1	1	1.1	1	0	1	0	
2026-01-29 12:25:00	60.29139	5.28252	12	33	0	1	220	0	0	0.016	13.2	3	0.688	0	1006.8	-1.8	72	95	1	1.1	1.2	1	0	1	0	
2026-02-12 08:45:57	60.29154	5.28255	12	0	0	0	10	0	0	0.016	13.3	23		0												
2026-02-12 08:50:00	60.29148	5.28249	12	1	0	2	10	0	0	0.014	13.3	22		0												
